original_background,original_question,rewritten_background,rewritten_question
We wish to estimate the mean weight of a population in which body weight has a log-Normal distribution with $\sigma=40$ pounds. Three independent SRS each of $n=712$ are selected from the population.,Calculate $95 \%$ confidence intervals for $\mu$ based on the first sample with $\bar{x}_1=183$.,"We want to estimate the average body weight for a population. We believe the weights follow a log-Normal distribution (right-skewed) with $\sigma=40$ pounds. We drew three independent simple random samples (SRS), each with $n=712$ people.","Using only the first sample, which had an average of $\bar{x}_1=183$, please provide a 95% confidence interval for the population mean $\mu$."
"Determine the sample size required for conducting a two-sided test of H0: p1=p2 with an equal number of subjects in each group, α=0.05 (z1-(.05 / 2)=1.96), 1-β=0.90 (z.90=1.282), p1=0.10, and p2=0.05.",Determine the sample size required for conducting a two-sided test of H0: p1=p2 with an equal number of subjects in each group.,"We are planning a study comparing two groups with an equal number of people in each group. Based on prior information, we expect the event rate to be around p1=0.10 in one group and p2=0.05 in the other. We want to be able to detect a difference in either direction (two-sided) with \(\alpha=0.05\) (i.e., \(z_{1-(0.05/2)}=1.96\)) and a 90% chance of detecting the expected difference if it’s real (\(1-\beta=0.90\), \(z_{0.90}=1.282\)).","Given these goals and assumptions (equal group sizes, p1=0.10, p2=0.05, \(\alpha=0.05\) with \(z_{1-(0.05/2)}=1.96\), and \(1-\beta=0.90\) with \(z_{0.90}=1.282\)), how many participants do we need in total and per group?"
"For each of the following comparisons, plot the data as back-to-back stemplots on a common stem. Then, compare group locations and spreads.","(b) Comparison B: Group 1: 90, 80, 70, 60, 50; Group 2: 70, 60, 50, 40","We are reviewing several small data sets in pairs. For each pair, we want a simple visual that shows both groups on the same number line—ideally mirrored on opposite sides—so we can see how their values line up. After that, please explain which group tends to have higher values and which one is more or less spread out.","Comparison B: We have two groups to compare. Group 1: 90, 80, 70, 60, 50; Group 2: 70, 60, 50, 40. Please place these on a single, aligned display and briefly compare the typical value and how spread out each group is."
We select an SRS of n=712 from a population of 20-29-year-old men and calculate x̄=183 pounds. The population standard deviation (σ) is 40.,We propose to calculate 99% confidence intervals for μ based on this information.,We’re running a health survey of men ages 20–29. We randomly selected 712 men in this age group and recorded their weights. The average weight in our sample is 183 pounds. We treat the typical spread in weights as 40 pounds.,"Using this information, we’d like to report a 99% range that likely contains the true average weight of all 20–29-year-old men. Can you calculate this range for us and explain how we should communicate it?"
"Exercise 6.1 introduced facts about Tay-Sachs inheritance. If both parents are carriers, there is a one in four chance the offspring inherits both alleles necessary for expression of the disease.",Suppose a carrier couple plans on having three children. Build the probability mass function (pmf) for the number of conceptions that will receive Tay-Sachs genes from both parents.,"In Exercise 6.1, we were introduced to facts about Tay-Sachs inheritance. Our understanding is that when both parents are carriers, there is a one in four chance that any given child will inherit both alleles necessary for expression of the disease.","Suppose we are a carrier couple planning to have three children. Using the one-in-four chance per child (treating each pregnancy as having the same chance), could we lay out the chances of ending up with 0, 1, 2, or 3 conceptions that receive Tay-Sachs genes from both parents?"
"Figure 5.7 depicts the probability density function for the random number spinner for values between 0.0 and 1.0. This is the uniform probability density function for the range 0 to 1, denoted $X \sim$ Uniform $(0,1)$. Use geometry to determine the following probabilities on this pdf.",$\operatorname{Pr}(0.2 \leq X \leq 0.8)$,"We use a random number spinner whose needle stops at a value between 0.0 and 1.0. Figure 5.7 shows how the outcomes are spread out: the curve is flat from 0 to 1, so every value in that range is equally likely. Using simple geometry on that figure, we’d like your help finding some chances.","Based on Figure 5.7, what is the chance that the spinner lands between 0.2 and 0.8?"
"A case-control study was completed to learn about the relationship between male-pattern baldness and the risk of cardiovascular disease. Cases were men less than 55 years of age hospitalized for a heart attack. Cases were excluded if they had a prior history of serious heart problems. Controls were men with no history of heart disease admitted to the same hospitals for nonfatal, noncardiac problems. Table 18.21 cross tabulates results according to self-assessed baldness, with baldness graded on a scale of 1 (no baldness) to 5 (extreme baldness).",Calculate the odds ratios associated with each level of baldness. Interpret your results.,"We recently completed a study to explore whether male-pattern baldness is related to the risk of cardiovascular disease. Our cases were men less than 55 years of age who were hospitalized for a heart attack, and we excluded anyone with a prior history of serious heart problems. Our controls (our comparison group) were men with no history of heart disease who were admitted to the same hospitals for nonfatal, noncardiac problems. We recorded each participant’s self-assessed baldness on a scale from 1 (no baldness) to 5 (extreme baldness). The counts for cases and controls by baldness level are shown in Table 18.21.","We would like you to use the counts in Table 18.21 to compare each baldness level to level 1 (no baldness) in terms of how much more or less likely someone is to appear in the heart attack (case) group rather than the control group. Please provide the numeric odds ratios for each baldness level relative to level 1 and a brief, plain-language explanation of what they mean."
Exercise 14.1 introduced data for a cross-sectional survey of bicycle helmet use in Northern California. Table 14.5 lists the data. Exercise 14.1(a) revealed that observation 13 (Los Arboles) was an outlier.,"After eliminating the outlier from the data set ( $n$ is now equal to 12), calculate least squares regression coefficients $a$ and $b$. Interpret these statistics.","We previously shared data from a survey of bicycle helmet use in Northern California (see Table 14.5). In earlier work, we noticed that observation 13 (Los Arboles) looked unusually different from the rest of the locations.","After setting aside the Los Arboles data point, our sample size (n) is now equal to 12. Please fit the best straight-line relationship between the two variables in Table 14.5, written as \(y = a + b x\). Report the values of \(a\) and \(b\), and explain in plain language what the slope and intercept tell us about this relationship."
"There are times you may need to determine a probability for a $t$-random variable that does not appear in Table C. For example, you may need to determine the probability a $t$-random variable with 8 degrees of freedom is greater than 2.65. Even though this value is not in Table C, you can still get a good idea of its probability by bracketing it between two landmarks in the table. In this case, 2.65 is bracketed between $t_{8,975}(2.31)$ and $t_{8,99}(2.90)$. Therefore, it has a cumulative probability that is a little bigger than 0.975 and a little smaller than 0.99.","What is the probability of $t_8>2.65$ ? In other words, what is the probability of observing a $t$ random variable with $8 d f$ that is greater than 2.65","We’re analyzing results using the t-curve with 8 degrees of freedom and Table C. We need the chance that a result would land above 2.65. Table C doesn’t list 2.65 for df = 8, so we bracket it between nearby landmarks: for df = 8, 2.65 falls between 2.31 (about 97.5% to the left) and 2.90 (about 99% to the left). That means the chance of being at or below 2.65 is a little bigger than 0.975 and a little smaller than 0.99. In notation: For df = 8, 2.65 is between \(t_{8,0.975} = 2.31\) and \(t_{8,0.99} = 2.90\), so \(P(T_8 \le 2.65)\) is a little bigger than 0.975 and a little smaller than 0.99.","Given this setup, what probability should we assign to our result exceeding 2.65 when df is 8? In other words, what is \(P(T_8 > 2.65)\)—the chance we observe a value greater than 2.65?"
We propose to draw boxplots for the air sample data presented in prior illustrations (see Table 4.2).,"Draw a boxplot for site 1 data: 22, 24, 28, 32, 36, 38, 42, 68.",We propose to draw boxplots for the air sample data presented in prior illustrations (see Table 4.2).,"Draw a boxplot for site 1 data: 22, 24, 28, 32, 36, 38, 42, 68."
"Determine the sample size required for conducting a two-sided test of H0: p1=p2 with an equal number of subjects in each group, α=0.05 (z1-(.05 / 2)=1.96), 1-β=0.90 (z.90=1.282), p1=0.10, and p2=0.05.",How many individuals should be studied if we want to incorporate a continuity correction into our test statistic?,"We’re planning a study with two groups of equal size to compare the rate of a yes/no outcome. Based on prior information, we expect the outcome to occur in about 0.10 of people in Group 1 and 0.05 in Group 2. We want to use a two‑sided 0.05 threshold (1.96) and aim for 90% chance to detect a true difference if it exists (1.282), with the same number of participants in each group.","If we account for the fact that the outcome is counted in whole people by using a small adjustment (continuity correction), how many individuals should we plan to study, keeping the groups equal in size?"
We wish to estimate the mean weight of a population in which body weight has a log-Normal distribution with $\sigma=40$ pounds. Three independent SRS each of $n=712$ are selected from the population.,Calculate $95 \%$ confidence intervals for $\mu$ based on the second sample with $\bar{x}_2=180$.,"We want to estimate the average body weight in our population. We have been told that body weight follows a log-Normal distribution with $\sigma=40$ pounds. We drew three separate, independent simple random samples (SRS) from this population, each with $n=712$.","Focusing on the second sample, where the sample average was $\bar{x}_2=180$ pounds, please provide a 95% confidence interval for the population mean $\mu$, using the known $\sigma=40$ pounds."
"A lottery offers a grand prize of $10 million. The probability of winning this grand prize is 1 in 55 million (≈ 1.8 × 10^-8). There are no other prizes, so the probability of winning nothing = 1 - (1.8 × 10^-8) = 0.999999982. Table 5.5 shows the probability mass function for the problem.",What is the expected value of a lottery ticket?,"We are evaluating a lottery that offers a single grand prize of $10 million and would like your help estimating the expected return. The probability of winning this grand prize is 1 in 55 million (≈ $1.8 \times 10^{-8}$). There are no other prizes, so the probability of winning nothing = $1 - (1.8 \times 10^{-8}) = 0.999999982$. Table 5.5 shows the probability mass function for the problem.",What is the expected value of a lottery ticket?
A study takes an SRS from a population of full-term infants. The standard deviation of birth weights in this population is 2 pounds.,Calculate 95% confidence intervals for μ for samples in which n=36 and \bar{x}=7.0 pounds.,"A study takes an SRS from a population of full-term infants. From prior information, we know the population standard deviation of birth weights is 2 pounds.","In our sample of 36 infants, we observed an average birth weight of 7.0 pounds. We would like an estimate of the overall average birth weight for all full-term infants and a 95% range that likely includes the true average."
"The pets and stress illustrative example found a significant difference among the three groups (P<0.001). Now we conduct post hoc comparisons with the LSD method. Recall that group 1= pet present, group 2= friend present, and group 3= neither pet nor friend present.",The third post-hoc comparison is H0: μ2=μ3 against Ha: μ2≠μ3.,"We're working on the 'pets and stress' illustrative example with three groups: group 1 = pet present, group 2 = friend present, and group 3 = neither pet nor friend present. Our initial check across all three groups showed a clear overall difference (P<0.001). We'd now like to do follow-up (post hoc) comparisons between specific pairs using the LSD method.","For the third pairwise comparison, can you check whether the average outcome for group 2 (friend present) is different from group 3 (neither pet nor friend present)? Formally: H0: \(\mu_2 = \mu_3\) vs. Ha: \(\mu_2 \ne \mu_3\)."
We have established a test of $H_0: \mu=170$ versus $H_{\mathrm{a}}: \mu>170$ in a population with $\sigma=40$ pounds. A simple random sample of $n=64$ is associated with $S E_{\bar{x}}=\frac{40}{\sqrt{64}}=5$.,Sample 1. What is the $z$-statistic for a sample in which $\bar{x}=173$?,"We’re checking whether the average weight in our population is higher than 170 pounds. From prior knowledge, we treat the typical spread in individual weights as 40 pounds. We’re using a simple random sample of n = 64, which means the expected wiggle in the sample average is $SE_{\bar{x}} = \frac{40}{\sqrt{64}} = 5$.","Sample 1: If our sample’s average is $\bar{x} = 173$, how many standard-error units above our benchmark of 170 is this difference?"
"Chapter 17 considered results from the estrogen trial of the Women's Health Initiative study. The incidence of the combined morbidity index in the treatment group was 751 per 8506 (8.83%). The incidence in the control group was 623 of 8102 (7.69%). The test of H0: p1=p2 yielded z_stat=2.66, P=0.0078 (two sided). We propose to test the same information with a chi-square statistic.","P-value. The X_stat^2 of 7.101 with 1 df converts to P=0.0077, producing the same results as the z test (except for rounding error).","Chapter 17 considered results from the estrogen trial of the Women's Health Initiative study. The incidence of the combined morbidity index in the treatment group was 751 per 8506 (8.83%). The incidence in the control group was 623 of 8102 (7.69%). The test of $H_0: p_1 = p_2$ (standard difference check, z test) yielded z = 2.66, two-sided P = 0.0078. We propose to test the same information with a chi-square statistic.","P-value. Does the chi-square X^2 of 7.101 with 1 degree of freedom (1 df) convert to P ≈ 0.0077, producing the same results as the standard difference check (z test) with z = 2.66 and two-sided P = 0.0078 (aside from rounding)?"
Recall the illustrative example concerning a matched case-control study of adenomatous colon polyps and diet.,Test the association for significance. Show all hypothesis-testing steps.,"We conducted a study on adenomatous colon polyps and diet. We compared people diagnosed with adenomatous colon polyps to similar people without them, pairing each person with a comparable partner. For each pair, we collected dietary information so we could see whether certain aspects of diet tend to differ between the two members of each pair.","Using this paired dataset, please determine whether the observed link between diet and adenomatous colon polyps is stronger than what we would expect by chance. Walk us through the full process step by step—how you set up the comparison, the assumptions you make, the calculations you perform, and how you reach and explain your conclusion."
A study examined the induction time between bacterial meningitis and the onset of seizures in 13 cases (months).,Construct a stemplot of these data and describe what you see.,"We’re looking at our dataset from a study of 13 cases, where we recorded the time (in months) between bacterial meningitis and the onset of seizures. We want a quick way to see how these times are distributed without losing the individual values.","Could you create a simple, text-style display that lays out the 13 times (in months) so we can quickly spot patterns—where most cases fall, how spread out they are, and whether there are any gaps or unusually high or low values—and then briefly describe what you see?"
"A study of n=16 retains H_0: μ=170 at an α of 0.05 (two sided). Based on prior study, the standard deviation of this variable is 40.",What was the power of the test to identify a population mean of 190?,"We ran a study with n=16. Using a two-sided 5% decision rule, we checked whether the average value could be 170 and ended up keeping 170 as plausible. From a prior study, the typical spread (standard deviation) for this measure is 40.","Given this setup, if the true average were 190, how likely would our testing approach have flagged that shift as a real difference (i.e., detected it)?"
Exercises 18.17 and 18.18 considered a case-control study of baldness and heart attacks in men using self-assessments of baldness. The published study also had interviewers assess the extent of baldness of study subjects using a Hamilton baldness scale (Figure 18.13). Table 18.32 cross-tabulates the data according to these interviewer assessments.,Compare the classification of baldness by interviewers (Table 18.32) with the self-assessed information in Table 18.21. Which method of assessment is preferable? Speculate how misclassification of baldness could bias the results of the study.,"We are working with the study from Exercises 18.17 and 18.18: a published case-control study of baldness and heart attacks in men that used self-assessments of baldness. In the same published study, interviewers also assessed the extent of baldness for study subjects using a Hamilton baldness scale (Figure 18.13). Table 18.32 cross-tabulates the data according to these interviewer assessments.",Compare the classification of baldness by interviewers (Table 18.32) with the self-assessed information in Table 18.21. Which method of assessment is preferable? Speculate how misclassification of baldness could bias the results of the study.
"Menstrual cycle lengths (days) in an SRS of nine women are as follows: {31, 28, 26, 24, 29, 33, 25, 26, 28}. Use this data to test whether mean menstrual cycle length differs significantly from a lunar month. (A lunar month is 29.5 days.) Assume population values vary according to a Normal distribution. Use a two-sided alternative.",Show all hypothesis-testing steps.,"We want to compare our group’s average (mean) cycle length to a lunar month (29.5 days). Menstrual cycle lengths (days) in an SRS of nine women are as follows: {31, 28, 26, 24, 29, 33, 25, 26, 28}. We’re comfortable treating cycle lengths as coming from a Normal distribution (a bell-shaped pattern).",Can you determine whether the average (mean) cycle length in our sample is different from 29.5 days (could be higher or lower) using a two-sided test? Please show all hypothesis-testing steps.
"A citizen claims that the intelligence of children in a particular community is above average. To test this claim, he selects a simple random sample consisting of n=9 children from this population. Scores of the intelligence test typically vary according to a Normal distribution with mean μ=100 and standard deviation σ=15. The sample produces these scores {116,128,125,119,89,99,105,116,118}. Thus, x̄=(116+128+⋯+118)/9=112.8.",Test statistic.,"We are interested in whether children in our community score above average on a standard intelligence test. To check this, we randomly selected n=9 children from the community. Scores on this test typically follow a Normal distribution with mean 100 and standard deviation 15. Our nine scores were {116,128,125,119,89,99,105,116,118}. The average of these nine scores is x̄ = (116+128+⋯+118)/9 = 112.8.","Using these data, please calculate how far our sample average is above 100 in units of the typical variability for an average of 9 scores (15/√9): \( \frac{112.8 - 100}{15 / \sqrt{9}} \)."
We propose to draw boxplots for the air sample data presented in prior illustrations (see Table 4.2).,"Draw a boxplot for site 2 data: 32, 33, 34, 36, 36, 38, 39, 40.","We’re reviewing air sample data from multiple sites, as presented in prior illustrations (see Table 4.2). We’d like a boxplot (a simple summary chart) for each site so we can quickly see the typical reading, how spread out the numbers are, the overall range, and whether any values look unusually high or low.","For site 2, with readings 32, 33, 34, 36, 36, 38, 39, 40, we’d like a boxplot."
A telephone survey uses a random digit dialing machine to call subjects. The random digit dialing machine is expected to reach a live person 15% of the time.,"In eight attempts, what is the probability of achieving exactly two successful calls?",We run a telephone survey using a random digit dialing machine. It reaches a live person 15% of the time.,"If we make eight call attempts, what is the chance we get exactly two successful calls?"
The ANOVA in Exercises 13.3 found that birth weight of four groups of infants differed significantly according to the smoking status of mothers (P=0.042). Table 13.3 lists the data for the analysis. Data are also available online in the file SMOK_BW.SAV.,Calculate 95% confidence intervals for all possible mean differences incorporating a Bonferroni adjustment.,"We are analyzing birth weight across four groups of infants based on mothers’ smoking status. In an earlier overall check, we found evidence that the groups differ (P=0.042). The data behind this are listed in Table 13.3, and are also available in the file SMOK_BW.SAV.","We would like 95% confidence intervals for the difference in average birth weight for every pair of the four smoking-status groups, using a Bonferroni adjustment to account for multiple comparisons."
A study takes an SRS from a population of full-term infants. The standard deviation of birth weights in this population is 2 pounds.,Calculate 95% confidence intervals for μ for samples in which n=9 and \bar{x}=5.8 pounds.,We are studying birth weights for full-term infants. We drew a random sample from this group. We know that the variability in birth weights across all full-term infants is 2 pounds.,"In one of our samples with n=9, we observed an average birth weight of 5.8 pounds. Using the known 2-pound variability, what is a 95% interval that likely captures the true average birth weight for all full-term infants?"
"A lottery offers a grand prize of $10 million. The probability of winning this grand prize is 1 in 55 million (≈ 1.8 × 10^-8). There are no other prizes, so the probability of winning nothing = 1 - (1.8 × 10^-8) = 0.999999982. Table 5.5 shows the probability mass function for the problem.",Fifty-five million lottery tickets will be sold. How much does the proprietor of the lottery need to charge per ticket to make a profit?,"A lottery offers a grand prize of $10 million. The probability of winning this grand prize is 1 in 55 million (≈ 1.8 × 10^-8). There are no other prizes, so the probability of winning nothing = 1 - (1.8 × 10^-8) = 0.999999982. Table 5.5 shows these probabilities.",Fifty-five million lottery tickets will be sold. How much should we charge per ticket to make a profit?
We wish to estimate the mean weight of a population in which body weight has a log-Normal distribution with $\sigma=40$ pounds. Three independent SRS each of $n=712$ are selected from the population.,Calculate $95 \%$ confidence intervals for $\mu$ based on the third sample with $\bar{x}_3=184$.,"We want to estimate the mean body weight in a population where body weight is believed to follow a log-Normal distribution with $\sigma=40$ pounds (i.e., right-skewed). We collected three independent simple random samples (SRS), each with size $n=712$.","Focusing on the third sample, with $\bar{x}_3=184$, could you calculate a 95% confidence interval for the population mean ($\mu$)?"
"A case-control study examined the relationship between cellular telephone use and intracranial tumors. The study (completed between 1994 and 1998) included 782 cases with various types of intracranial tumors and 799 controls with a variety of nonmalignant conditions. Subjects were considered to be ""exposed"" if they reported cellular telephone use for more than 100 hours. The odds ratios (and $95 \%$ confidence intervals) for various tumor types were: for glioma 0.9 ( 0.5 to 1.6 ), for meningioma 0.7 ( 0.3 to 1.7 ), for acoustic neuroma 1.4 ( 0.6 to 3.5 ), for all tumor types combined 1.0 ( 0.6 to 1.5 ).",Do results support or fail to support the theory that handheld cellular telephone use causes brain tumors?,"We conducted a case-control study (completed between 1994 and 1998) to see whether cellular telephone use is linked to intracranial tumors. We included 782 cases with various types of intracranial tumors and 799 controls with a variety of nonmalignant conditions. We considered someone ""exposed"" if they reported more than 100 hours of cellular telephone use. Comparing those who were exposed with those who were not, the odds ratios (with 95% confidence intervals) for different tumor types were: for glioma 0.9 (0.5 to 1.6), for meningioma 0.7 (0.3 to 1.7), for acoustic neuroma 1.4 (0.6 to 3.5), and for all tumor types combined 1.0 (0.6 to 1.5).","Given these results, do our findings support or fail to support the theory that handheld cellular telephone use causes brain tumors? How should we interpret these odds ratios and their 95% confidence intervals in plain language?"
"Yay-Sachs is a metabolic disorder that is inherited as an autosomal recessive trait. Both recessive alleles are necessary for expression of the disease. Therefore, when each parent is a carrier, there is a one in four chance of transmitting the genetic disorder to each offspring.",Let X represent the number of offspring affected in three consecutive conceptions from Tay-Sachs carrier parents. Is X a binomial random variable? Explain your response.,"We counsel families about Yay-Sachs, a metabolic disorder that is inherited as an autosomal recessive trait. Our understanding is that both recessive alleles are necessary for the disease to appear, and that when each parent is a carrier, there is a one in four chance that any given offspring will be affected.","For Tay-Sachs carrier parents, we plan to look at three consecutive conceptions and define X as the number of affected offspring among those three. Can we treat this as a standard “count of yes/no outcomes over a fixed number of tries,” where each conception has the same 1-in-4 risk and the results don’t influence each other? Please advise whether this framing is appropriate, and outline the assumptions that need to hold (for example: same two parents throughout, no changes that would alter the per-pregnancy risk, and no dependence between pregnancies)."
Exercise 14.1 introduced data for a cross-sectional survey of bicycle helmet use in Northern California. Table 14.5 lists the data. Exercise 14.1(a) revealed that observation 13 (Los Arboles) was an outlier.,Calculate the $95 \%$ confidence interval for slope parameter $\beta$.,"We’re following up on the cross-sectional survey of bicycle helmet use in Northern California (see Table 14.5). In our earlier review (Exercise 14.1(a)), we noticed that observation 13 (Los Arboles) stands out as an outlier.","Using the data in Table 14.5, we’d like a 95% confidence interval for the rate of change in helmet use per one-unit increase in the predictor—that is, the straight-line trend linking the two variables."
We have established that the body weights of 20-29-year-old U.S. males have σ=40 pounds.,How many observations do we need in order to estimate mean body weight μ with 95% confidence and a margin of error of plus or minus 10 pounds?,"We are studying body weights for 20–29-year-old U.S. males. From earlier data, we know body weight in this group varies with a typical spread of 40 pounds.","How many people should we weigh so that our estimate of the average body weight is within plus or minus 10 pounds of the true average, and we can be 95% sure of that level of accuracy?"
Table 14.5 lists data from a cross-sectional survey of bicycle safety. The explanatory variable is a measure of neighborhood socioeconomic status (variable P_RFM). The response variable is helmet use.,Calculate the correlation coefficient between neighborhood socioeconomic status and helmet use.,"We conducted a cross-sectional survey of bicycle safety (see Table 14.5). For each neighborhood, we recorded a measure of socioeconomic status (P_RFM) and whether people used helmets. We want to understand how these two pieces of information move together.",Could you provide a single summary number that captures both the direction and the strength of the relationship between neighborhood socioeconomic status (P_RFM) and helmet use?
"Exercise 18.5 examined responses to treatment in 196 leprosy patients. Descriptive statistics suggested patients in the high skin-infiltration group were more likely to demonstrate a favorable response. Table 18.13 has taken the 2-by-5 cross tabulation from Table 18.10 and transposed it into a 5-by-2 table. It also calculates odds and odds ratios, which become progressively smaller as we proceed down the table.",We now ask whether this trend is statistically significant.,"In Exercise 18.5, we’re analyzing treatment responses in 196 leprosy patients. Our initial summaries suggest patients in the high skin-infiltration group were more likely to show a favorable response. In Table 18.13, we took the earlier 2-by-5 layout from Table 18.10 and rearranged it into a 5-by-2 table. We also calculated, for each group, the ratio of favorable to non-favorable responses (odds) and the ratios of these odds between groups (odds ratios), which become progressively smaller as we proceed down the table.","Can you help us determine whether this downward pattern across the five skin-infiltration groups reflects a real trend rather than random variation—that is, whether it’s statistically significant (unlikely to be due to chance)?"
The freeware program StaTable can determine exact probabilities for t-random variables. You can also use WinPepi WhatIs.exe or Microsoft Excel's TDIST function for this purpose.,Use one of these software applications to find Pr(T_8 ≥ 2.98),"We often need to look up exact probabilities for t-scores (Student's t) in our analyses. We can get these using the freeware program StaTable, WinPepi WhatIs.exe, or Microsoft Excel's TDIST function.","Using one of these tools, can you tell us the chance that our t score with 8 degrees of freedom is at least 2.98? In symbols, compute \(\Pr(T_8 \ge 2.98)\)."
Use Table C to determine the values on a $t_{22}$ distribution that captures the middle $95 \%$ of the area under the curve.,Determine the values on a $t_{22}$ distribution that captures the middle $95 \%$ of the area under the curve.,"We're using Table C to look up the two cutoff points on the $t_{22}$ distribution. We want the range that contains the middle 95% of the area, with the remaining 5% split evenly between the two tails. For this, we should use the row labeled 22.","Using Table C and the row for 22, what are the two cutoff values on the $t_{22}$ distribution that mark the middle 95% of the area (leaving 2.5% in each tail)?"
"A citizen claims that the intelligence of children in a particular community is above average. To test this claim, he selects a simple random sample consisting of n=9 children from this population. Scores of the intelligence test typically vary according to a Normal distribution with mean μ=100 and standard deviation σ=15. The sample produces these scores {116,128,125,119,89,99,105,116,118}. Thus, x̄=(116+128+⋯+118)/9=112.8.",P-value.,"We believe the intelligence of children in our particular community is above average. To check this, we selected a simple random sample of n=9 children from the community. On this test, scores typically show a bell-shaped pattern with an overall average of 100 and a typical spread (standard deviation) of 15. Our sample scores are {116,128,125,119,89,99,105,116,118}, which gives an average of 112.8.","Given that scores typically center at 100 with a spread of 15, and we sampled 9 children, how unlikely would it be to see a sample average as high as 112.8 or higher if the true average were really 100? Please provide that probability and a brief interpretation in terms of how much this supports our belief that children here are above average."
Data from a historically important study by Sir Richard Doll published in 1955 are used to illustrate techniques in this chapter. This study looked at lung cancer mortality rates by region (response variable) according to per capita cigarette consumption (explanatory variable). Table 14.2 lists the data.,Inspect the relationship between cigarette consumption $(X)$ and lung cancer mortality $(Y)$ with graphical explorations.,Data from a historically important study by Sir Richard Doll (1955) are used to illustrate techniques in this chapter. The study examined lung cancer mortality rates by region $(Y)$ according to per capita cigarette consumption $(X)$. Table 14.2 lists the data.,Inspect the relationship between cigarette consumption $(X)$ and lung cancer mortality $(Y)$ with graphical explorations.
"To test $H_0: \mu_{\text {pet present }}=\mu_{\text {friend present }}$ for the illustrative example with application of a Bonferroni correction, recall that the LSD method produced $P=0.00000392$ for this post hoc comparison. Because there are three post hoc comparisons in this analysis, $P_{\text {Bonf }}=P_{\text {LSD }} \times c= 0.00000392 \times 3=0.000012$.","To calculate the $95 \%$ confidence interval for $\mu_{\text {per present }}-\mu_{\text {friend present }}$ with a Bonferroni correction, recall that $\bar{x}_1=73.483, \bar{x}_2=91.325$, and $S E_{x_1 \bar{x}_2}=3.362$. For the $95 \%$ confidence interval, use $t_{N-k, 1-\frac{a}{2 c}}=t_{45-3,1-\frac{.05}{2 \times 3}}=t_{42,.9917}=2.51$. Therefore, the $95 \%$ confidence interval $=\left(\bar{x}_i-\bar{x}_j\right) \pm t_{N-k, 1-\frac{\alpha}{2c}} \cdot S E_{\bar{x}_i-\bar{x}_j}=(73.483-91.325) \pm (2.51)(3.362)=-17.842 \pm 8.439=(-26.3$ to -9.4$)$.","We are comparing participant responses under two situations: ""pet present"" and ""friend present."" In our follow-up look specifically at this pair, the test gave a very small probability, 0.00000392. Because we made three follow-up comparisons in total, we adjusted this number by multiplying by 3 to be cautious, which gives 0.000012.","We’d like your help putting a 95% confidence range on how much ""pet present"" differs from ""friend present,"" while staying cautious about having made three follow-up comparisons. The average scores are 73.483 for pet present and 91.325 for friend present. The standard error for their difference is 3.362. For a 95% range that accounts for the three comparisons, please use a multiplier of 2.51. What is the 95% confidence range for (pet present − friend present)?"
"A jury having heard the evidence in a criminal case, is debating whether to render a verdict of guilty or not guilty. Because it is worse to convict an innocent person of a crime they did not commit than let a guilty person go free, each case starts with a presumption of innocence. This is analogous to the presumption that $H_0$ is true in a statistical hypothesis test. Other analogies exist.",Which type of decision is analogous to a type I error?,"We’re seeking guidance on how to frame decisions in a criminal case. A jury, having heard the evidence, is deciding whether to render a verdict of guilty or not guilty. Because it is worse to convict an innocent person than to let a guilty person go free, each case starts with a presumption of innocence. We want to map courtroom decisions to decisions under uncertainty, where we begin with a default assumption and only overturn it when the evidence is strong. Other analogies exist.","Within this courtroom analogy, which jury outcome would we consider the 'false alarm' mistake—convicting someone as guilty when the person is actually innocent?"
"Recall the illustrative example on the topic of alcohol consumption and income level. Evidence of distributional asymmetry and unequal variances was demonstrated (e.g., Figure 13.17). Although ANOVA and other Normal techniques are precluded by these facts, we may still apply a Kruskal-Wallis test.",What are the hypotheses for the Kruskal-Wallis test in this example?,"We’re studying the relationship between alcohol consumption and income level. As in Figure 13.17, the income values are noticeably skewed and the spread differs across the alcohol-use groups. Because of this, ANOVA and other methods that assume roughly bell-shaped data with similar spreads across groups aren’t appropriate for us. Instead, we’re considering the Kruskal–Wallis test, which compares the ordering of incomes across groups and is less sensitive to skewness and unequal spreads.","For the Kruskal–Wallis test in our alcohol consumption example, how should we state the testing setup? Specifically, what is the ‘no difference’ statement we’re checking, and what is the competing statement (i.e., that at least one group differs)?"
Suppose a population has 26 members identified with the letters A through Z.,Assume person A gets selected on the initial draw and you sample again without replacement. What is the probability of drawing person A on the second draw?,We have a population of 26 members identified with the letters A through Z.,"If person A is selected on the initial draw and we draw again without replacement, what is the chance of drawing person A on the second draw?"
"Figure 5.1 shows the results of two trials in which we randomly selected 10,000 individuals from a population in which 20% of the individuals are smokers. The proportion of the smokers in the sample is plotted as the sample size increases from n = 0 to n = 10,000.",Describe the behavior of the proportion of smokers in Trial 1 as the sample size increases.,"We’re reviewing a survey process and have run two trials where we randomly selected 10,000 individuals from a population in which 20% of the individuals are smokers. In each trial, we kept a running update: after each new person, we recalculated the percentage of smokers we had seen so far. We plotted this running percentage as the sample size increases from n = 0 to n = 10,000 (see Figure 5.1).","Focusing on Trial 1, how should we describe what happens to the running percentage of smokers as the sample size increases?"
