sample_key,case_id,suggested_method,proposed_new_category,reason
374,book1_r1\record_149.json,假设检验与区间估计\独立性检验,,该问题要求对列联表数据进行卡方检验（chi-square test of association），判断秃头程度（有序分类变量）与心血管疾病（病例/对照）之间是否存在关联，这正是独立性检验的典型应用场景。卡方独立性检验属于'假设检验与区间估计'下的'独立性检验'二级类目。
375,book1_r1\record_149.json,假设检验与区间估计\独立性检验,,该问题要求对病例-对照研究中有序分类变量（秃顶等级1-5）与二分类结局（病例/对照）之间的关联进行趋势检验（Cochran-Armitage trend test）。趋势检验本质上是在列联表框架下，检验有序暴露变量与二分类结局之间是否存在线性关联（即检验两变量是否独立，零假设为各等级间比例无线性趋势）。它是卡方独立性检验针对有序分类变量的特化形式，利用类别的有序性获得更强的检验效力。该方法在统计检验的逻辑框架（零假设、检验统计量、p值）和应用场景（两变量是否独立/关联）上与'独立性检验'类目高度一致，属于该类目的自然延伸。
377,book1_r1\record_150.json,假设检验与区间估计\比例检验,,这是一个配对病例对照研究中的McNemar检验问题。McNemar检验用于配对二分类数据，检验两个相关比例是否相等。题目给出了不一致配对的数据（45对和24对），要求计算检验统计量。McNemar检验本质上是对配对比例差异的检验，属于比例检验的范畴。
378,book1_r1\record_150.json,假设检验与区间估计\独立性检验,,该问题描述的是一个配对病例-对照研究（matched case-control study），给出了不一致配对的频数（45对和24对），要求计算P值。这是典型的McNemar检验场景——利用不一致配对的频数构造卡方统计量 χ²=(b−c)²/(b+c)，检验暴露因素（低水果蔬菜摄入）与疾病状态（腺瘤性结肠息肉）之间是否存在显著关联。McNemar检验本质上是针对配对二分类数据的卡方类关联/独立性检验，与现有taxonomy中'独立性检验'所涵盖的'卡方独立性检验、Fisher精确检验等'同属一族，是对两个分类变量是否存在关联进行假设检验的问题，因此归入'独立性检验'最为合适。
380,book1_r1\record_151.json,关联分析\contingency table,,本题要求根据配对病例-对照研究的 2×2 列联表计算优势比（odds ratio）并做文字解读。数据以匹配配对的列联表形式呈现，核心任务是从分类变量的交叉表中计算关联性度量（OR = 不一致对之比 = 44/5 = 8.8）。'contingency table' 二级类目的定义明确涵盖'频数表、比例表、优势比展示等'，与本题用列联表计算并解读优势比的任务高度吻合。虽然'模型解读 > 分类或发生概率影响因素解读'也涉及优势比解释，但该类目侧重于在已建模型（如 Logistic 回归）基础上解读参数，而本题并未拟合模型，而是直接从列联表结构计算 OR，因此'contingency table'更为贴切。
381,book1_r1\record_151.json,关联分析\contingency table,,"本题的核心任务是：(1) 将配对病例-对照数据的匹配对表拆解重构为独立样本的 2×2 列联表（频数表）；(2) 基于该列联表计算优势比（odds ratio）；(3) 将未匹配的 OR 与配对 OR（McNemar OR = b/c）进行比较。这完全符合""contingency table""的定义——""用列联表研究两个或多个分类变量联合分布与关联模式的问题，包括频数表、比例表、优势比展示等""。问题的核心统计量是优势比，操作对象是 2×2 列联表，且定义中明确包含""优势比""，因此该二级类目最为贴切。"
382,book1_r1\record_152.json,假设检验与区间估计\独立性检验,,该问题基于2×2列联表数据，要求计算Pearson卡方统计量及其P值，以检验治疗组与对照组在不良事件发生率上是否存在显著差异（即两个分类变量是否独立）。这正是卡方独立性检验的典型应用场景，属于'假设检验与区间估计'下的'独立性检验'二级类目。
383,book1_r1\record_152.json,假设检验与区间估计\独立性检验,,该问题使用Yates'连续性校正的卡方检验来检验治疗组与对照组之间不良事件发生率是否独立/有显著差异。这是典型的基于列联表的独立性检验问题，属于'假设检验与区间估计'下的'独立性检验'二级类目。
388,book1_r1\record_154.json,关联分析\contingency table,,"本题要求根据一个 2×2 列联表（病例-对照 × 烟草使用）计算优势比（odds ratio）。这是典型的列联表关联分析问题，而 taxonomy 中""关联分析 > contingency table""的定义明确包含'优势比展示'（优势比即 odds ratio），且核心任务正是利用列联表结构衡量两个分类变量（疾病状态与暴露因素）之间的关联强度，因此该二级类目最为贴切。"
430,book1_r1\record_310.json,实验设计\实验(抽样)方案设计,,问题询问如何将24名受试者随机分配到治疗组和对照组，这是一个典型的实验方案设计问题，涉及随机化分组方法的选择（如简单随机分配、区组随机化等），属于实验设计中的实验(抽样)方案设计类目。
436,book1_r1\record_312.json,描述性统计量\集中趋势测度,,问题要求计算给定数据的中位数（median），中位数是描述数据中心位置的经典集中趋势测度，属于'描述性统计量'下的'集中趋势测度'二级类目。
439,book1_r1\record_314.json,数据可视化\stem-and-leaf plot,,题目明确要求用茎叶图（stemplot）展示各州无医保覆盖率的分布情况，这与数据可视化中的 'stem-and-leaf plot' 二级类目完全吻合。该类目定义为'用茎叶图展示单变量分布及原始数值结构的问题'，与本题需求一致。
440,book1_r1\record_314.json,数据可视化\stem-and-leaf plot,,题目明确要求对数据创建 stemplot（茎叶图），并通过拆分茎值使其更具可读性。这正是数据可视化中 'stem-and-leaf plot' 二级类目所涵盖的内容——用茎叶图展示单变量分布及原始数值结构，既保留原始数值信息又展示分布形态。
475,book1_r1\record_335.json,数学计算\事件发生概率及独立性,,该问题要求根据概率质量函数（pmf）计算两个互斥事件的并集概率（P(X=0 or X=1) = P(X=0) + P(X=1)），属于利用概率规则（加法规则）计算事件概率的问题，直接对应'事件发生概率及独立性'这一二级类目。
476,book1_r1\record_336.json,数学计算\期望,,"该问题要求根据给定的概率质量函数（pmf）计算均值（mean），即离散随机变量的数学期望 E(X) = Σ x·P(x)。这正是""数学计算 > 期望""二级类目的定义范畴：'计算随机变量或随机过程的数学期望、均值收益或长期平均结果的问题。包括离散/连续分布下的期望、期望损失、期望次数等。'该问题完全符合离散分布下期望计算的描述。"
482,book1_r1\record_340.json,数学计算\事件发生概率及独立性,,该问题要求使用概率加法公式 Pr(A∪B) = Pr(A) + Pr(B) - Pr(A∩B) 计算两个事件的并集概率，属于根据概率规则计算事件发生概率的典型问题，完全符合'事件发生概率及独立性'这一二级类目的定义。
484,book1_r1\record_342.json,数学计算\事件发生概率及独立性,,本题给定了边际概率 Pr(A)=0.35 和条件概率 Pr(B|A)=0.4286，要求计算联合概率 Pr(A∩B)=Pr(B|A)×Pr(A)。这是典型的基于条件概率公式计算事件发生概率的问题，属于'事件发生概率及独立性'二级类目的覆盖范围（条件概率、联合概率计算）。
485,book1_r1\record_343.json,数学计算\事件发生概率及独立性,,该问题要求利用全概率公式（total probability rule）计算事件B的概率，即 Pr(B) = Pr(B|A)·Pr(A) + Pr(B|¬A)·Pr(¬A)。这属于根据概率规则计算事件概率的问题，完全符合'事件发生概率及独立性'二级类目的定义，该类目明确包含条件概率、全概率、贝叶斯公式等内容。
486,book1_r1\record_344.json,数学计算\事件发生概率及独立性,,该问题要求使用贝叶斯定理（Bayes' theorem），根据已知的灵敏度（sensitivity）、假阳性率（false-positive rate）和疾病流行率（prevalence），计算阳性预测值（即在检测结果为阳性的条件下，受试者确实患病的条件概率）。这是一个典型的条件概率计算问题，属于'事件发生概率及独立性'二级类目的定义范围，该类目明确包括'条件概率、全概率、贝叶斯公式'等内容。
491,book1_r1\record_347.json,数学计算\概率空间相关（如状态数）,,"该问题要求计算从7个物品中选5个的组合数，即C(7,5)，属于组合数学中计算可能配置数/状态数的问题。在现有taxonomy中，'概率空间相关（如状态数）'明确包含'排列组合'这一场景，与本题完全吻合。"
492,book1_r1\record_348.json,数学计算\事件发生概率及独立性,,"本题要求根据二项分布（n=4, p=0.75）计算观察到0次成功的概率，即P(X=0)=(0.25)^4。这属于根据概率分布假设计算特定事件发生概率的问题，与'事件发生概率及独立性'二级类目的定义（根据概率规则、分布假设计算事件概率）完全吻合。"
493,book1_r1\record_348.json,数学计算\事件发生概率及独立性,,"该问题要求在已知二项分布参数（n=4, p=0.75）的前提下，计算恰好有1次成功的概率。这属于根据概率分布假设计算特定事件发生概率的问题，直接对应'数学计算'下的'事件发生概率及独立性'二级类目。"
494,book1_r1\record_348.json,数学计算\事件发生概率及独立性,,"该问题要求根据已知的二项分布（n=4, p=0.75）计算恰好有两次成功的概率，属于根据概率分布假设计算特定事件发生概率的问题，直接对应'数学计算'下的'事件发生概率及独立性'二级类目。"
495,book1_r1\record_348.json,数学计算\事件发生概率及独立性,,"该问题要求根据已知的二项分布参数（n=4, p=0.75）计算恰好三次成功的概率，属于根据概率分布假设计算特定事件发生概率的经典问题，完全符合'事件发生概率及独立性'这一二级类目的定义（根据概率规则、分布假设计算事件概率）。"
496,book1_r1\record_348.json,数学计算\事件发生概率及独立性,,"该问题要求根据已知的二项分布参数（n=4, p=0.75）计算特定事件（四次成功）的概率。这属于根据概率分布假设计算事件发生概率的经典问题，与'事件发生概率及独立性'二级类目的定义完全吻合，该类目涵盖'根据概率规则、分布假设计算事件概率'的问题。"
497,book1_r1\record_348.json,数学计算\事件发生概率及独立性,,"该问题要求根据已知的二项分布 B(4, 0.75) 计算其概率质量函数（PMF），即计算 X 取各个可能值时的概率。这属于根据概率分布假设计算事件发生概率的问题，与'事件发生概率及独立性'类目的定义吻合：'根据概率规则、分布假设或列联结构计算事件概率'。虽然问题涉及分布的完整 PMF 表格，但本质上仍是基于二项分布公式逐一计算各取值的概率，属于概率计算范畴。"
498,book1_r1\record_349.json,数学计算\事件发生概率及独立性,,"该问题给定了二项分布 b(20, 0.04)，要求计算在样本中观察到0个哮喘患者的概率，即 P(X=0)。这是一个根据已知概率分布计算特定事件发生概率的经典问题，属于'事件发生概率及独立性'二级类目，该类目涵盖根据分布假设计算事件概率的问题。"
499,book1_r1\record_349.json,数学计算\事件发生概率及独立性,,"该问题给定了二项分布 b(20, 0.04) 的参数，要求计算观察到恰好一个哮喘患者的概率，即 P(X=1)。这是一个根据已知概率分布计算特定事件发生概率的经典问题，属于'事件发生概率及独立性'类目，涵盖根据分布假设计算事件概率的情形。"
500,book1_r1\record_349.json,数学计算\事件发生概率及独立性,,"该问题要求根据已知的二项分布 b(20, 0.04) 计算观察到恰好两个哮喘患者的概率，即 P(X=2)。这是一个基于概率分布假设计算特定事件发生概率的问题，属于'事件发生概率及独立性'类目，涉及利用概率质量函数（二项分布公式）计算指定事件的概率。"
501,book1_r1\record_350.json,数学计算\事件发生概率及独立性,,本题要求根据已给出的二项分布概率质量函数表，计算累积概率 P(X ≤ 3) = P(X=0) + P(X=1) + P(X=2) + P(X=3)。这属于在已知分布假设下，依据概率规则计算特定事件（X ≤ 3）发生概率的问题，与'事件发生概率及独立性'类目的定义——'根据概率规则、分布假设计算事件概率'——高度吻合。
532,book1_r1\record_363.json,数据可视化\连续型变量分布,,该问题要求比较总体分布与样本均值的抽样分布（sampling distribution of x̄），核心概念是抽样分布的性质（根据中心极限定理或正态总体下样本均值分布的均值和标准误的变化）。现有 taxonomy 中没有专门针对'抽样分布'的二级类目：它不属于'描述性统计量'（不是在计算某个汇总指标），不属于'数据分布建模'中的 MLE 或贝叶斯（不涉及参数估计），也不属于'期望'或'事件发生概率'等数学计算类目。问题的本质是理解和比较总体分布与统计量的抽样分布，这是统计推断的基础概念，建议新增'抽样分布'类目以涵盖此类问题。
537,book1_r1\record_365.json,数学计算\事件发生概率及独立性,,"本题要求根据已知的二项分布 B(10, 0.2) 计算观测到 0 个吸烟者的概率，即 P(X=0)。这属于根据给定分布假设和概率规则计算特定事件发生概率的问题，完全符合'事件发生概率及独立性'这一二级类目的定义。"
538,book1_r1\record_365.json,数学计算\事件发生概率及独立性,,"该问题要求根据已知的二项分布 X ~ b(10, 0.2) 计算观察到恰好一个吸烟者（即 x=1）的概率。这是一个典型的根据概率分布假设计算特定事件发生概率的问题，属于'数学计算'下的'事件发生概率及独立性'二级类目。"
539,book1_r1\record_365.json,数学计算\事件发生概率及独立性,,"该问题要求根据已知的二项分布 X ~ b(10, 0.2) 计算观察到恰好2个吸烟者的概率，即计算 P(X=2)。这属于根据给定分布假设计算特定事件发生概率的问题，完全符合'事件发生概率及独立性'二级类目的定义：'根据概率规则、分布假设或列联结构计算事件概率'。"
541,book1_r1\record_365.json,数学计算\事件发生概率及独立性,,"该问题要求在已知二项分布 B(10, 0.2) 的条件下，计算观察到5个或更多吸烟者的概率 P(X≥5)，以判断该事件是否令人惊讶。这属于根据已知分布假设计算特定事件发生概率的问题，直接对应'事件发生概率及独立性'这一二级类目。"
543,book1_r1\record_366.json,数学计算\分布推导,,"该问题要求根据简单随机抽样（SRS）的条件（n=100，总体中吸烟比例为20%），推导样本中吸烟者计数的概率分布（即二项分布 Bin(100, 0.2)）。这属于根据概率规则和模型结构推导随机变量概率分布的问题，与'数学计算\分布推导'的定义完全吻合。"
544,book1_r1\record_366.json,数学计算\分布推导,,"该问题要求根据已知的总体比例和样本量，推导样本比例 p̂ 的抽样分布。这是一个典型的分布推导问题：利用中心极限定理，推导出 p̂ 近似服从正态分布 N(0.20, 0.20×0.80/100)。问题的核心是'推导某个统计量的概率分布'，完全符合'数学计算\分布推导'的定义，该定义明确包含'基于中心极限定理的近似'。"
549,book1_r1\record_368.json,假设检验与区间估计\均值检验,,该问题是在已知总体标准差σ=40、样本量n=64的条件下，对总体均值进行单样本z检验（H₀: μ=170 vs Hₐ: μ>170），要求计算给定样本均值x̄=173时的z统计量。这属于典型的单样本均值检验问题，完全符合'均值检验'二级类目的定义：'比较一个或多个总体均值是否等于某给定值或彼此相等的问题，包括单样本、双样本、配对t检验等'。计算z统计量是均值检验的核心步骤。
550,book1_r1\record_368.json,假设检验与区间估计\均值检验,,该问题是在已知总体标准差σ和样本均值的条件下，对总体均值进行单样本z检验（H₀: μ=170 vs Hₐ: μ>170），需要计算z统计量。这属于'假设检验与区间估计'中的'均值检验'二级类目，即比较一个总体均值是否等于某给定值的假设检验问题，计算检验统计量是均值检验流程的核心步骤。
554,book1_r1\record_370.json,假设检验与区间估计\均值检验,,该问题的核心是对总体均值进行单样本假设检验（H₀: μ=100 vs H₁: μ>100），已知总体标准差σ=15，样本量n=9，计算z检验统计量z=(x̄-μ₀)/(σ/√n)。这属于'均值检验'二级类目，即比较一个总体均值是否等于某给定值的问题（单样本z检验）。
555,book1_r1\record_370.json,假设检验与区间估计\均值检验,,该问题是一个经典的单样本均值检验：已知总体标准差σ=15，从总体中抽取n=9个样本，计算样本均值x̄=112.8，检验总体均值是否显著高于μ₀=100（单侧z检验），并要求计算P值。这完全符合'均值检验'的定义——'比较一个或多个总体均值是否等于某给定值或彼此相等的问题，包括单样本、双样本、配对t检验等'。虽然此处使用的是z检验而非t检验，但本质上仍属于均值检验的范畴。
556,book1_r1\record_370.json,假设检验与区间估计\均值检验,,该问题是一个经典的单样本z检验（已知总体标准差）问题，目的是检验该社区儿童的平均智力是否显著高于总体均值100。这属于'均值检验'二级类目，即比较一个总体均值是否等于某给定值的假设检验问题。
557,book1_r1\record_371.json,假设检验与区间估计\检验性质分析,,该问题要求在给定样本量、显著性水平、标准差和备择假设均值的条件下，计算假设检验的统计功效（power）。这属于对假设检验基本性质的分析，具体涉及第二类错误（β）和检验功效（1-β）的计算，与'检验性质分析'二级类目的定义完全吻合。
558,book1_r1\record_372.json,数学计算\达到指定概率所需的最小样本量,,"该问题的核心是：在给定检验力（power=90%）、显著性水平（α=0.05）、已知标准差（σ=40）和需检测差异（Δ=20）等条件下，反推 z 检验所需的最小样本量 n。这正是'在给定成功概率目标（此处为检验力 90%，即正确拒绝 H₀ 的概率）、置信要求（α=0.05）下，反推所需最小样本量'的问题，与二级类目""达到指定概率所需的最小样本量""的定义高度吻合。"
559,book1_r1\record_372.json,描述性统计量\集中趋势测度,,"该问题要求根据已知的总体标准差σ=40和样本量n=42计算均值的标准误（standard error of the mean, SEM = σ/√n）。标准误本质上是描述抽样分布中样本均值的离散/精度的统计量。虽然它与'分散程度测度'也有关联，但SEM更直接描述的是对均值估计的精度。然而，仔细考虑后，这个计算实际上是一个纯粹的数学计算——给定σ和n，计算σ/√n。它不涉及假设检验本身，也不涉及样本量的确定（样本量已给定为42）。在现有taxonomy中，这更接近于'描述性统计量'中的'分散程度测度'，因为标准误衡量的是抽样分布的离散程度（标准差）。"
592,book1_r1\record_382.json,假设检验与区间估计\均值检验,,该问题涉及配对样本（oat bran数据）的显著性检验，已知差值的样本量n_d、差值均值x̄_d和差值标准差s_d，要求计算检验统计量及其组成部分。这是典型的配对t检验（paired t-test）问题，属于均值检验的范畴。
595,book1_r1\record_383.json,假设检验与区间估计\均值检验,,"该问题要求利用配对差值的均值、标准误和 t 分布临界值（t_{11,.95}=1.796）构造总体均值差 μ_d 的 90% 置信区间。这属于配对 t 检验框架下的区间估计问题，与'均值检验'二级类目高度吻合——其描述明确包含'配对 t 检验'，且所属一级类目'假设检验与区间估计'本身涵盖区间估计。置信区间的构造与配对 t 检验使用完全相同的统计量和分布，是假设检验的对偶形式，因此归入'均值检验'最为贴切。"
596,book1_r1\record_383.json,假设检验与区间估计\均值检验,,"该问题要求根据配对样本的差值均值、标准误和 t 分布临界值构造总体均值差 μ_d 的 95% 置信区间，属于配对 t 检验框架下的区间估计。所用统计量（t_{11,.975}=2.201）、自由度 df=11、标准误 SE 等均与配对 t 检验完全一致，置信区间与假设检验是同一推断体系的对偶形式。'均值检验'二级类目定义中明确包含'配对 t 检验'，且其所在的一级类目名称即为'假设检验与区间估计'，因此本题归入'均值检验'最为贴切。"
597,book1_r1\record_383.json,假设检验与区间估计\均值检验,,"该问题要求利用配对样本的均值差 x̄_d、标准误 SE 和 t 分布临界值 t_{11,.995} 构造总体均值差 μ_d 的 99% 置信区间。这属于配对 t 程序的区间估计部分，与配对 t 检验使用完全相同的统计量、自由度和标准误。父级类目'假设检验与区间估计'明确涵盖区间估计，而子类目'均值检验'的定义包含'配对 t 检验等'，置信区间的构造与假设检验是对偶关系，属于同一统计方法框架，因此'均值检验'是现有 taxonomy 中最贴切的二级类目。"
604,book1_r1\record_386.json,数学计算\达到指定概率所需的最小样本量,,该问题的核心是：在给定显著性水平 α=0.05、检验功效(power)=90%、效应量 Δ=300g 以及标准差 σ=720 的条件下，反推所需的最小样本量。这属于经典的功效分析(power analysis)样本量规划问题，其本质是'达到指定概率目标（此处为 90% 的检测成功概率）所需的最小样本量'。现有二级类目'达到指定概率所需的最小样本量'的定义——'在给定成功概率目标、置信要求或至少发生一次的概率要求下，反推所需最小样本量'——可以涵盖本题中以检验功效作为'成功概率目标'并反推样本量的情形，因此选择该类目。
606,book1_r1\record_387.json,数学计算\达到指定概率所需的最小样本量,,该问题要求在给定检验功效（80%）、显著性水平（α=0.05 双侧）、效应量（均值变化 0.2 mmol/L）和标准差（0.4 mmol/L）的条件下，反推所需的最小样本量。这正是'达到指定概率所需的最小样本量'类目的核心场景：给定一个概率目标（此处为检验功效 80%，即以 80% 的概率成功检测到效应），反推满足该概率要求的最小样本量。该类目描述中的'成功概率目标'和'置信要求'可涵盖功效分析中的 power 要求，因此现有二级类目能够恰当匹配该问题。
608,book1_r1\record_389.json,假设检验与区间估计\检验性质分析,,该问题要求在给定样本量、效应大小、标准差和显著性水平的条件下计算假设检验的功效（power），即检验正确拒绝零假设的概率。这属于对假设检验基本性质（功效/第二类错误）的分析，直接对应'检验性质分析'这一二级类目，该类目明确包括'检验的显著性水平、功效、第一类错误和第二类错误等'。
661,book1_r1\record_409.json,关联分析\相关系数（一维）,,"该问题的背景是基于Pearson相关系数r=0.737，计算相关系数ρ的95%置信区间，其中需要用到t分布的临界值t_{9,0.975}的平方。这属于对两个一维变量之间线性关联强度（相关系数）进行区间估计的问题，核心统计方法是相关系数的推断，因此归入'关联分析\相关系数（一维）'最为合适。"
665,book1_r1\record_409.json,关联分析\相关系数（一维）,,"该问题要求根据样本相关系数 r=0.737 计算总体相关系数 ρ 的 95% 置信区间。虽然这涉及区间估计，但其核心对象是两个一维变量之间的相关系数（Pearson 相关），属于关联分析中""相关系数（一维）""的范畴。此外，假设检验与区间估计的分类说明中也提到区间估计是一体两面，但该问题的核心统计量和研究目标是相关系数本身，因此归入""关联分析\相关系数（一维）""更为贴切。"
666,book1_r1\record_410.json,数值计算\获取模型参数估计值,,该问题要求根据已知的统计量（相关系数r、标准差s_X和s_Y）代入公式 b = r * s_Y / s_X 计算回归模型的斜率系数b。这属于在给定模型（线性回归）和已知统计量的情况下，通过解析公式求解模型参数估计值的问题，完全符合'数值计算 > 获取模型参数估计值'这一二级类目的定义。
671,book1_r1\record_411.json,假设检验与区间估计\回归模型参数检验,,该问题要求计算回归模型中斜率参数β的95%置信区间。虽然类目名称以'检验'命名，但taxonomy明确说明'假设检验与区间估计'是一体两面，二级类目虽以检验命名但也包含对应的区间估计方法。回归斜率β的置信区间属于回归模型参数的区间估计，因此归入'回归模型参数检验'最为合适。
673,book1_r1\record_412.json,模型解读\回归系数显著性与方向解读,,该问题已知回归模型的斜率估计值b和标准误SE_b，要求计算检验统计量（t = b / SE_b）以判断斜率是否显著不为零。这属于在模型已建立后，对回归系数进行显著性检验和解读的问题，与'回归系数显著性与方向解读'类目吻合。
674,book1_r1\record_412.json,模型解读\回归系数显著性与方向解读,,该问题已建立回归模型（已知斜率b和标准误SE_b），要求计算斜率的P值并解读其统计显著性。这属于在模型已建立后，对回归系数进行显著性检验并解读其方向和意义的问题，完全符合'模型解读'下'回归系数显著性与方向解读'的定义。
675,book1_r1\record_412.json,模型解读\回归系数显著性与方向解读,,该问题已建立回归模型并得到斜率估计值b和标准误SE_b，要求在给定显著性水平α=0.01下检验回归斜率是否显著不为零。这属于在模型已建立后，对回归系数进行显著性判断的问题，与'模型解读'下的'回归系数显著性与方向解读'最为匹配。虽然问题涉及假设检验的操作（t检验），但其核心目的是解读回归系数（斜率）是否具有统计显著性，即判断自变量（吸烟）对因变量（肺癌）的影响是否显著，属于回归系数显著性解读的范畴。
678,book1_r1\record_413.json,假设检验与区间估计\方差分析,,该问题对简单线性回归模型执行 ANOVA F 检验：将总变异分解为回归平方和（regression SS）与残差平方和（residual SS），计算 F 统计量并求 P 值，以判断回归关系是否显著。这与'方差分析'二级类目的核心方法完全一致——分解变异来源并基于 F 分布做假设检验。回归 ANOVA 是方差分析在回归模型中的标准应用，属于'方差分析'范畴。
688,book1_r1\record_416.json,假设检验与区间估计\比例检验,,该问题是将某社区吸烟率与已知的全国吸烟率(0.21)进行比较，属于单样本比例检验（双侧），判断样本比例是否显著偏离已知总体比例，完全符合'比例检验'的定义。
689,book1_r1\record_416.json,假设检验与区间估计\比例检验,,该问题是关于单样本比例检验：将某社区的吸烟率与全国已知比例0.21进行比较，使用带连续性校正的z检验计算检验统计量和P值。这属于'比较一个总体比例与某给定值大小关系'的问题，完全符合'假设检验与区间估计\比例检验'的定义。
691,book1_r1\record_417.json,假设检验与区间估计\独立性检验,,该问题描述的是经典的 Fisher 女士品茶实验（Lady Tasting Tea），其核心是通过 Fisher 精确检验（Fisher's exact test）来判断女士的判断能力是否与实际添加顺序独立。问题要求给出该检验的检验统计量，即 2×2 列联表中某一单元格的计数（正确识别的杯数）。Fisher 精确检验是最经典的独立性检验方法之一，用于在小样本、2×2 列联表情境下检验两个分类变量是否独立，完全契合'假设检验与区间估计 > 独立性检验'这一二级类目的定义。
692,book1_r1\record_417.json,假设检验与区间估计\独立性检验,,"本题描述的是经典的 Fisher 品茶实验（Lady Tasting Tea），需要在零假设（女士无法真正区分）下计算 P 值。其核心方法正是 Fisher 精确检验（Fisher's exact test）：在 8 杯茶中选 4 杯为'先加奶'的总可能方案数为 C(8,4)=70，然后计算正确识别 6 杯及以上的概率。Fisher 精确检验是检验两个分类变量（实际加奶顺序 vs. 女士判断结果）是否独立的经典方法，而'独立性检验'类目的定义明确包含了'Fisher 精确检验'，因此本题最合适的二级类目为'独立性检验'。"
700,book1_r1\record_420.json,数学计算\达到指定概率所需的最小样本量,,该问题要求在给定95%置信水平和目标误差范围(±0.05)的条件下，反推估计总体比例所需的最小样本量。这正好符合'达到指定概率所需的最小样本量'的定义：在给定置信要求和估计精度要求下，反推所需最小样本量。
701,book1_r1\record_420.json,数学计算\达到指定概率所需的最小样本量,,该问题要求在给定置信水平（95%）和目标误差幅度（±0.03）的条件下，反推估计总体比例所需的最小样本量。这与'达到指定概率所需的最小样本量'二级类目的定义高度吻合——该类目涵盖'在给定成功概率目标、置信要求或至少发生一次的概率要求下，反推所需最小样本量的问题'。此处的置信要求为95%，精度要求为误差不超过0.03，正是典型的样本量确定问题。
702,book1_r1\record_421.json,数学计算\达到指定概率所需的最小样本量,,"该问题的核心任务是：在给定假设检验框架（H₀: p=0.21, 双侧检验, α=0.05）和检验力要求（power=90%，即成功拒绝 H₀ 的概率达到 0.90）的前提下，反推检测到 p₁=0.31 所需的最小样本量 n。这属于典型的功效分析（power analysis）样本量计算问题。'达到指定概率所需的最小样本量'类目定义为'在给定成功概率目标、置信要求……下，反推所需最小样本量的问题'，其中 90% 功效即为一个'成功概率目标'（成功检测到效应的概率），问题结构完全吻合：已知目标概率 → 求最小 n。因此该二级类目是最贴切的选择。"
711,book1_r1\record_426.json,数值计算\获取模型参数估计值,,"该问题的核心任务是在已知统计模型（风险差的95%置信区间）和原始数据（a_2=623, n_2=8102）的前提下，按照特定的调整规则（如连续性校正或其他修正公式）计算出调整后的计数 a_2、样本量 n_2 及比例 p_2 的数值。这属于'在给定模型、样本和估计准则后，通过解析或数值方法求参数估计'的范畴，与'获取模型参数估计值'的定义吻合：问题并非要求构建完整的置信区间或进行假设检验，而是聚焦于中间参数（调整后的计数与比例）的具体计算。"
713,book1_r1\record_426.json,假设检验与区间估计\比例检验,,该问题要求计算两个总体比例之差(p_1 - p_2)的95%置信区间，属于双样本比例的区间估计问题。在taxonomy中，'假设检验与区间估计'类目明确说明假设检验和区间估计是一体两面，其下的'比例检验'二级类目定义为'比较一个或多个总体比例与某给定值或彼此之间大小关系的问题'，涵盖双样本比例检验及其对应的区间估计，因此该问题最适合归入此类。
721,book1_r1\record_429.json,假设检验与区间估计\比例检验,,该问题要求计算相对风险（RR）的95%置信区间，RR是两个总体比例的比值，属于比例的衍生量。根据taxonomy定义，'比例检验'类目明确包含'关于比例的衍生量，如风险比、优势比等的检验'，且假设检验与区间估计是一体两面，因此构造RR的置信区间属于该二级类目。
723,book1_r1\record_432.json,数学计算\达到指定概率所需的最小样本量,,本题的核心任务是：在给定显著性水平 α=0.05、检验功效 1-β=0.90（即指定概率目标）以及两组比例 p1=0.10、p2=0.05 的条件下，反推满足功效要求的最小每组样本量 n。这正是'达到指定概率所需的最小样本量'类目所涵盖的问题结构——给定一个概率目标（此处为检验功效 0.90），通过公式反推所需最小样本量。虽然该类目所举示例偏简单概率场景，但其定义中的'置信要求'和'成功概率目标'均可覆盖假设检验功效分析中的样本量确定问题，问题核心结构一致。
744,book1_r1\record_444.json,假设检验与区间估计\独立性检验,,该问题要求对一个二分类变量（皮肤浸润程度：高/低）与一个有序分类变量（治疗反应：5个等级）之间的线性趋势进行统计检验并报告 P 值。所用方法是 Cochran-Armitage 趋势检验（chi-square test for trend），它本质上是卡方独立性检验针对有序分类变量的特化形式：通过对有序类别赋予等距得分，检验比例（或优势比）是否随类别顺序呈现显著线性趋势，即检验两个变量是否独立。这与'独立性检验'定义中'通过统计检验判断两个变量在总体上是否独立'的描述一致，属于卡方独立性检验家族中的有序替代假设变体。
767,book1_r1\record_502.json,数学计算\期望,,该问题要求计算二项分布随机变量的方差。在现有taxonomy中，'期望'类目的定义明确指出'方差等基于期望定义的量的计算也包含在内'。因此，计算随机变量的方差属于'期望'这一二级类目的覆盖范围。
771,book1_r1\record_504.json,数学计算\分布推导,,该问题要求根据已知的总体比例和样本量，推导两个样本比例之差 p̂1 - p̂2 的抽样分布（包括其均值、标准差及基于中心极限定理的近似正态分布形式）。这属于根据概率规则和分布定义推导随机变量的概率分布的问题，与'分布推导'二级类目的定义完全吻合，该定义明确指出'基于中心极限定理的近似也包含在内'。
